Month,Distribution channel,Region,Division,Type of product,Total volume,Free of charge (Volume),Sales return volume,Actual sales volume,Sales amount
2024-06-01,GT,North,CAC,Others,142.0,83.0,0.0,59.0,1.340753085
2024-06-01,GT,North,RAC,Non Inverter,16417.0,20.0,0.0,16397.0,62.365405165
2024-06-01,GT,North,RAC,Inverter,24788.0,536.0,0.0,24252.0,133.960136831
2024-06-01,GT,North,Washing Machine,Dryer Machine,150.0,0.0,0.0,150.0,0.6204546
2024-06-01,GT,North,Washing Machine,Front load,670.0,0.0,0.0,670.0,2.90227259
2024-06-01,GT,North,Washing Machine,Top load,1130.0,0.0,0.0,1130.0,3.408182
2024-06-01,GT,North,Television,Small size,1843.0,0.0,0.0,1843.0,6.771045852
2024-06-01,GT,North,Television,Large size,2083.0,1.0,0.0,2082.0,13.943636464
2024-06-01,GT,North,Refrigerator,Multi doors,121.0,0.0,0.0,121.0,1.21
2024-06-01,GT,North,Refrigerator,Side by Side,319.0,0.0,0.0,319.0,2.645772725
2024-06-01,GT,South,CAC,Others,69.0,0.0,0.0,69.0,1.631327265
2024-06-01,GT,South,RAC,Non Inverter,800.0,0.0,0.0,800.0,3.10681804
2024-06-01,GT,South,RAC,Inverter,3880.0,0.0,0.0,3880.0,19.523409495
2024-06-01,GT,South,Washing Machine,Front load,166.0,0.0,0.0,166.0,0.719909057
2024-06-01,GT,South,Washing Machine,Dryer Machine,10.0,0.0,0.0,10.0,0.05590909
2024-06-01,GT,South,Washing Machine,Top load,245.0,0.0,500.0,-255.0,-0.7604545
2024-06-01,GT,South,Television,Small size,490.0,0.0,0.0,490.0,1.6404546
2024-06-01,GT,South,Refrigerator,Top freezer,490.0,0.0,1.0,-1.0,-0.004045455
2024-06-01,GT,South,Refrigerator,Multi doors,1.0,0.0,0.0,1.0,0.007681818
2024-06-01,GT,South,Refrigerator,Side by Side,119.0,0.0,1.0,118.0,0.965727271
2024-06-01,GT,Middle,RAC,Non Inverter,380.0,0.0,0.0,380.0,1.80863626
2024-06-01,GT,Middle,RAC,Inverter,4932.0,827.0,0.0,4105.0,22.939499809
2024-06-01,GT,Middle,Others,Air purifier,3.0,3.0,0.0,0.0,0.0
2024-06-01,GT,Middle,Washing Machine,Front load,41.0,1.0,0.0,40.0,0.17318181
2024-06-01,GT,Middle,Washing Machine,Top load,11.0,1.0,0.0,10.0,0.03045455
2024-06-01,GT,Middle,Television,Small size,849.0,0.0,0.0,849.0,2.614045476
2024-06-01,GT,Middle,Television,Large size,119.0,0.0,1.0,118.0,0.767227276
2024-06-01,GT,Middle,Refrigerator,Mini,45.0,0.0,0.0,45.0,0.102272715
2024-06-01,GT,Middle,Refrigerator,Top freezer,45.0,0.0,1.0,-1.0,-0.006909091
2024-06-01,GT,Middle,Refrigerator,Multi doors,24.0,0.0,1.0,23.0,0.230863636
2024-06-01,GT,Middle,Refrigerator,Side by Side,113.0,0.0,0.0,113.0,0.978181812
2024-06-01,MT,North,CAC,Others,40.0,0.0,0.0,40.0,0.726525826
2024-06-01,MT,North,RAC,Non Inverter,529.0,0.0,0.0,529.0,2.042988869
2024-06-01,MT,North,RAC,Inverter,12112.0,0.0,11.0,12101.0,69.045093512
2024-06-01,MT,North,Washing Machine,Dryer Machine,66.0,0.0,0.0,66.0,0.255647
2024-06-01,MT,North,Washing Machine,Front load,214.0,0.0,1.0,213.0,1.002528967
2024-06-01,MT,North,Washing Machine,Dryer Machine,23.0,0.0,0.0,23.0,0.141469911
2024-06-01,MT,North,Washing Machine,Top load,330.0,0.0,0.0,330.0,0.862280712
2024-06-01,MT,North,Television,Small size,247.0,0.0,1.0,246.0,1.129403504
2024-06-01,MT,North,Television,Large size,241.0,0.0,5.0,236.0,1.838476843
2024-06-01,MT,North,Refrigerator,Top freezer,241.0,0.0,1.0,-1.0,-0.005083636
2024-06-01,MT,North,Refrigerator,Side by Side,103.0,0.0,0.0,103.0,1.075602821
2024-06-01,MT,South,CAC,Others,1.0,0.0,0.0,1.0,0.028845455
2024-06-01,MT,South,RAC,Inverter,7406.0,0.0,75.0,7331.0,46.007782058
2024-06-01,MT,South,Others,Water Heater,7406.0,0.0,1.0,-1.0,-0.000909091
2024-06-01,MT,South,Washing Machine,Dryer Machine,84.0,0.0,0.0,84.0,0.270574
2024-06-01,MT,South,Washing Machine,Front load,275.0,0.0,2.0,273.0,1.21684494
2024-06-01,MT,South,Washing Machine,Dryer Machine,9.0,0.0,0.0,9.0,0.051488184
2024-06-01,MT,South,Washing Machine,Top load,590.0,0.0,1.0,589.0,1.391709704
2024-06-01,MT,South,Television,Small size,517.0,0.0,4.0,513.0,1.362916794
2024-06-01,MT,South,Television,Large size,709.0,0.0,3.0,706.0,3.844388608
2024-06-01,MT,South,Refrigerator,Bottom freezer,709.0,0.0,4.0,-4.0,-0.02906182
2024-06-01,MT,South,Refrigerator,Multi doors,709.0,0.0,1.0,-1.0,-0.011692909
2024-06-01,MT,South,Refrigerator,Side by Side,201.0,0.0,2.0,199.0,2.004764202
2024-06-01,MT,Middle,CAC,Others,3.0,0.0,0.0,3.0,0.076012365
2024-06-01,MT,Middle,RAC,Non Inverter,78.0,0.0,0.0,78.0,0.290727294
2024-06-01,MT,Middle,RAC,Inverter,7032.0,0.0,30.0,7002.0,37.424085638
2024-06-01,MT,Middle,Washing Machine,Dryer Machine,17.0,0.0,1.0,16.0,0.049088
2024-06-01,MT,Middle,Washing Machine,Front load,29.0,0.0,2.0,27.0,0.13025945
2024-06-01,MT,Middle,Washing Machine,Top load,91.0,0.0,0.0,91.0,0.212507278
2024-06-01,MT,Middle,Television,Small size,91.0,0.0,3.0,88.0,0.230910376
2024-06-01,MT,Middle,Television,Large size,119.0,0.0,0.0,119.0,0.649090855
2024-06-01,MT,Middle,Refrigerator,Mini,9.0,0.0,0.0,9.0,0.02088
2024-06-01,MT,Middle,Refrigerator,Side by Side,29.0,0.0,0.0,29.0,0.277802908
2024-06-01,Retail,North,RAC,Non Inverter,60.0,0.0,0.0,60.0,0.04900908
2024-06-01,Retail,North,RAC,Inverter,36.0,0.0,0.0,36.0,0.214936367
2024-06-01,Retail,North,Others,Air purifier,36.0,11.0,0.0,25.0,0.024572736
2024-06-01,Retail,North,Washing Machine,Dryer Machine,2.0,0.0,0.0,2.0,0.004830455
2024-06-01,Retail,North,Washing Machine,Front load,23.0,0.0,0.0,23.0,0.024582271
2024-06-01,Retail,North,Washing Machine,Dryer Machine,2.0,0.0,0.0,2.0,0.002451818
2024-06-01,Retail,North,Washing Machine,Top load,1.0,0.0,0.0,1.0,0.000680455
2024-06-01,Retail,North,Television,Small size,2.0,0.0,0.0,2.0,0.006627272
2024-06-01,Retail,North,Television,Large size,2.0,0.0,0.0,2.0,0.0096
2024-06-01,Retail,North,Refrigerator,Bottom freezer,3.0,0.0,0.0,3.0,0.008079091
2024-06-01,Retail,North,Refrigerator,Top freezer,17.0,0.0,0.0,17.0,0.024044998
2024-06-01,Retail,North,Refrigerator,Multi doors,4.0,0.0,0.0,4.0,0.011588182
2024-06-01,Retail,North,Refrigerator,Side by Side,5.0,0.0,0.0,5.0,0.01997591
2024-06-01,Retail,South,RAC,Non Inverter,7.0,0.0,0.0,7.0,0.006363637
2024-06-01,Retail,South,RAC,Inverter,2.0,2.0,0.0,0.0,0.0
2024-06-01,Retail,South,Washing Machine,Front load,17.0,0.0,0.0,17.0,0.016636364
2024-06-01,Retail,South,Washing Machine,Top load,2.0,0.0,0.0,2.0,0.001772728
2024-06-01,Retail,South,Refrigerator,Bottom freezer,2.0,0.0,0.0,2.0,0.00290909
2024-06-01,Retail,South,Refrigerator,Top freezer,22.0,0.0,0.0,22.0,0.03727273
2024-06-01,Retail,South,Refrigerator,Multi doors,4.0,0.0,0.0,4.0,0.009545456
2024-06-01,Retail,South,Refrigerator,Side by Side,8.0,0.0,0.0,8.0,0.015181819
2024-06-01,Retail,Middle,RAC,Inverter,2.0,0.0,0.0,2.0,0.00839091
2024-06-01,Retail,Middle,Washing Machine,Front load,1.0,0.0,0.0,1.0,0.003581818
2024-06-01,Retail,Middle,Television,Small size,1.0,0.0,0.0,1.0,0.003854545
2024-05-01,GT,North,CAC,Others,849.0,39.0,7.0,803.0,14.477111384
2024-05-01,GT,North,RAC,Non Inverter,6062.0,0.0,110.0,5952.0,24.479046967
2024-05-01,GT,North,RAC,Inverter,33949.0,0.0,342.0,33607.0,204.169225978
2024-05-01,GT,North,Others,Water Heater,1.0,0.0,0.0,1.0,0.000763636
2024-05-01,GT,North,Others,Air purifier,1.0,0.0,0.0,1.0,0.001336364
2024-05-01,GT,North,Washing Machine,Dryer Machine,33.0,0.0,0.0,33.0,0.132300012
2024-05-01,GT,North,Washing Machine,Front load,934.0,0.0,62.0,872.0,3.589249987
2024-05-01,GT,North,Washing Machine,Dryer Machine,10.0,0.0,0.0,10.0,0.05327273
2024-05-01,GT,North,Washing Machine,Top load,1078.0,0.0,0.0,1078.0,3.25900015
2024-05-01,GT,North,Television,Small size,1517.0,5.0,0.0,1512.0,6.119454418
2024-05-01,GT,North,Television,Large size,468.0,0.0,2.0,466.0,2.84290903
2024-05-01,GT,North,Refrigerator,Bottom freezer,9.0,0.0,0.0,9.0,0.036818181
2024-05-01,GT,North,Refrigerator,Top freezer,3.0,0.0,0.0,3.0,0.008081818
2024-05-01,GT,North,Refrigerator,Side by Side,1360.0,0.0,0.0,1360.0,11.5345452
2024-05-01,GT,South,CAC,Others,225.0,0.0,0.0,225.0,4.823436357
2024-05-01,GT,South,RAC,Non Inverter,319.0,0.0,0.0,319.0,1.427227243
2024-05-01,GT,South,RAC,Inverter,13298.0,1.0,0.0,13297.0,74.328363573
2024-05-01,GT,South,Others,Water Heater,48.0,0.0,0.0,48.0,0.045054524
2024-05-01,GT,South,Others,Air purifier,6.0,0.0,0.0,6.0,0.006109089
2024-05-01,GT,South,Others,Water Heater,15.0,0.0,0.0,15.0,0.006681825
2024-05-01,GT,South,Washing Machine,Dryer Machine,104.0,0.0,0.0,104.0,0.410581856
2024-05-01,GT,South,Washing Machine,Front load,542.0,0.0,0.0,542.0,1.99596364
2024-05-01,GT,South,Washing Machine,Dryer Machine,80.0,0.0,0.0,80.0,0.41054544
2024-05-01,GT,South,Washing Machine,Top load,801.0,0.0,0.0,801.0,2.291204563
2024-05-01,GT,South,Television,Small size,1383.0,20.0,0.0,1363.0,5.243908995
2024-05-01,GT,South,Television,Large size,185.0,0.0,0.0,185.0,1.083454506
2024-05-01,GT,South,Refrigerator,Bottom freezer,7.0,0.0,0.0,7.0,0.023772728
2024-05-01,GT,South,Refrigerator,Top freezer,157.0,0.0,5.0,152.0,0.467899993
2024-05-01,GT,South,Refrigerator,Multi doors,16.0,0.0,1.0,15.0,0.07973636
2024-05-01,GT,South,Refrigerator,Side by Side,288.0,0.0,2.0,286.0,2.279309023
2024-05-01,GT,Middle,CAC,Others,74.0,0.0,0.0,74.0,1.620636372
2024-05-01,GT,Middle,RAC,Non Inverter,680.0,0.0,0.0,680.0,2.87454564
2024-05-01,GT,Middle,RAC,Inverter,11288.0,0.0,0.0,11288.0,65.730816513
2024-05-01,GT,Middle,Washing Machine,Front load,40.0,0.0,0.0,40.0,0.18818182
2024-05-01,GT,Middle,Washing Machine,Top load,33.0,0.0,0.0,33.0,0.103500012
2024-05-01,GT,Middle,Television,Small size,749.0,15.0,0.0,734.0,2.80199995
2024-05-01,GT,Middle,Television,Large size,16.0,0.0,0.0,16.0,0.096363636
2024-05-01,GT,Middle,Refrigerator,Mini,13.0,0.0,0.0,13.0,0.029545451
2024-05-01,GT,Middle,Refrigerator,Bottom freezer,2.0,0.0,0.0,2.0,0.008181818
2024-05-01,GT,Middle,Refrigerator,Multi doors,1.0,0.0,0.0,1.0,0.007727273
2024-05-01,GT,Middle,Refrigerator,Side by Side,205.0,15.0,0.0,190.0,1.527636343
2024-05-01,MT,North,CAC,Others,8.0,0.0,0.0,8.0,0.160000002
2024-05-01,MT,North,RAC,Non Inverter,375.0,0.0,0.0,375.0,1.397181921
2024-05-01,MT,North,RAC,Inverter,12132.0,0.0,6.0,12126.0,70.072748336
2024-05-01,MT,North,Others,Water Heater,12132.0,0.0,1.0,-1.0,-0.000882818
2024-05-01,MT,North,Washing Machine,Dryer Machine,139.0,0.0,0.0,139.0,0.560913
2024-05-01,MT,North,Washing Machine,Front load,449.0,0.0,4.0,445.0,2.162314724
2024-05-01,MT,North,Washing Machine,Dryer Machine,12.0,0.0,0.0,12.0,0.076905363
2024-05-01,MT,North,Washing Machine,Top load,253.0,0.0,3.0,250.0,0.747737239
2024-05-01,MT,North,Television,Small size,437.0,0.0,6.0,431.0,2.073878978
2024-05-01,MT,North,Television,Large size,87.0,0.0,24.0,63.0,0.521758639
2024-05-01,MT,North,Refrigerator,Mini,40.0,0.0,0.0,40.0,0.093525
2024-05-01,MT,North,Refrigerator,Bottom freezer,76.0,0.0,0.0,76.0,0.317818168
2024-05-01,MT,North,Refrigerator,Side by Side,255.0,0.0,0.0,255.0,2.269719298
2024-05-01,MT,South,CAC,Others,3.0,0.0,0.0,3.0,0.076827273
2024-05-01,MT,South,RAC,Non Inverter,7.0,0.0,0.0,7.0,0.025454548
2024-05-01,MT,South,RAC,Inverter,18701.0,0.0,31.0,18670.0,114.846348138
2024-05-01,MT,South,Washing Machine,Dryer Machine,275.0,0.0,0.0,275.0,1.234634
2024-05-01,MT,South,Washing Machine,Front load,431.0,0.0,1.0,430.0,1.853151628
2024-05-01,MT,South,Washing Machine,Dryer Machine,12.0,0.0,0.0,12.0,0.078458184
2024-05-01,MT,South,Washing Machine,Top load,838.0,0.0,2.0,836.0,2.429303246
2024-05-01,MT,South,Television,Small size,1203.0,0.0,1.0,1202.0,5.342214906
2024-05-01,MT,South,Television,Large size,296.0,0.0,1.0,295.0,2.168049461
2024-05-01,MT,South,Refrigerator,Mini,41.0,0.0,0.0,41.0,0.09483
2024-05-01,MT,South,Refrigerator,Multi doors,41.0,0.0,2.0,-2.0,-0.023385818
2024-05-01,MT,South,Refrigerator,Side by Side,629.0,0.0,1.0,628.0,5.835169116
2024-05-01,MT,Middle,CAC,Others,2.0,0.0,0.0,2.0,0.0252
2024-05-01,MT,Middle,RAC,Non Inverter,45.0,0.0,0.0,45.0,0.167727285
2024-05-01,MT,Middle,RAC,Inverter,4314.0,0.0,12.0,4302.0,23.864014108
2024-05-01,MT,Middle,Washing Machine,Dryer Machine,19.0,0.0,0.0,19.0,0.06608
2024-05-01,MT,Middle,Washing Machine,Front load,36.0,0.0,1.0,35.0,0.169360083
2024-05-01,MT,Middle,Washing Machine,Top load,57.0,0.0,0.0,57.0,0.179132181
2024-05-01,MT,Middle,Television,Small size,110.0,0.0,2.0,108.0,0.501556716
2024-05-01,MT,Middle,Television,Large size,17.0,0.0,1.0,16.0,0.174443182
2024-05-01,MT,Middle,Refrigerator,Mini,17.0,0.0,0.0,17.0,0.03944
2024-05-01,MT,Middle,Refrigerator,Side by Side,45.0,0.0,1.0,44.0,0.43133445
2024-05-01,Retail,North,RAC,Non Inverter,16.0,0.0,0.0,16.0,0.06093636
2024-05-01,Retail,North,RAC,Inverter,23.0,0.0,0.0,23.0,0.130036368
2024-05-01,Retail,North,Others,Air purifier,17.0,10.0,0.0,7.0,0.005850002
2024-05-01,Retail,North,Washing Machine,Front load,11.0,3.0,0.0,8.0,0.033922727
2024-05-01,Retail,North,Washing Machine,Dryer Machine,1.0,0.0,0.0,1.0,0.005327273
2024-05-01,Retail,North,Washing Machine,Top load,1.0,0.0,0.0,1.0,0.003045455
2024-05-01,Retail,North,Television,Small size,2.0,0.0,0.0,2.0,0.007181818
2024-05-01,Retail,North,Television,Large size,11.0,0.0,0.0,11.0,0.076301817
2024-05-01,Retail,North,Refrigerator,Mini,1.0,0.0,0.0,1.0,0.002254545
2024-05-01,Retail,North,Refrigerator,Bottom freezer,4.0,0.0,0.0,4.0,0.020604545
2024-05-01,Retail,North,Refrigerator,Side by Side,1.0,0.0,0.0,1.0,0.007254545
2024-05-01,Retail,South,RAC,Inverter,12.0,0.0,0.0,12.0,0.04849091
2024-05-01,Retail,South,Others,Air purifier,1.0,0.0,0.0,1.0,0.001513636
2024-05-01,Retail,South,Television,Small size,1.0,0.0,0.0,1.0,0.003854545
2024-05-01,Retail,South,Television,Large size,1.0,0.0,0.0,1.0,0.018612727
2024-05-01,Retail,Middle,RAC,Inverter,2.0,0.0,0.0,2.0,0.00929091
2024-05-01,Retail,Middle,Others,Air purifier,1.0,0.0,0.0,1.0,0.000627273
2024-05-01,Retail,Middle,Television,Large size,1.0,0.0,0.0,1.0,0.005190909
2024-04-01,GT,North,CAC,Others,537.0,0.0,0.0,537.0,10.356578585
2024-04-01,GT,North,RAC,Non Inverter,1848.0,0.0,2.0,1846.0,13.779909396
2024-04-01,GT,North,RAC,Inverter,78464.0,0.0,0.0,78464.0,467.09627878
2024-04-01,GT,North,Others,Water Heater,26.0,0.0,0.0,26.0,0.019854536
2024-04-01,GT,North,Others,Air purifier,326.0,0.0,0.0,326.0,0.229955401
2024-04-01,GT,North,Others,Water Heater,6.0,0.0,0.0,6.0,0.003818184
2024-04-01,GT,North,Others,Cooker,4.0,0.0,0.0,4.0,0.001527272
2024-04-01,GT,North,Washing Machine,Dryer Machine,50.0,0.0,0.0,50.0,0.2
2024-04-01,GT,North,Washing Machine,Front load,1581.0,0.0,537.0,1044.0,4.624627322
2024-04-01,GT,North,Washing Machine,Dryer Machine,52.0,0.0,0.0,52.0,0.28023634
2024-04-01,GT,North,Washing Machine,Top load,1499.0,0.0,1.0,1498.0,4.515154637
2024-04-01,GT,North,Television,Small size,1082.0,20.0,0.0,1062.0,3.186022769
2024-04-01,GT,North,Television,Large size,1548.0,0.0,25.0,1523.0,8.828627405
2024-04-01,GT,North,Refrigerator,Mini,3.0,0.0,0.0,3.0,0.003754545
2024-04-01,GT,North,Refrigerator,Bottom freezer,383.0,0.0,0.0,383.0,2.385236363
2024-04-01,GT,North,Refrigerator,Top freezer,36.0,0.0,0.0,36.0,0.114163635
2024-04-01,GT,North,Refrigerator,Multi doors,9.0,0.0,0.0,9.0,0.051227271
2024-04-01,GT,North,Refrigerator,Side by Side,396.0,0.0,0.0,396.0,3.31219093
2024-04-01,GT,South,CAC,Others,107.0,0.0,0.0,107.0,2.152172713
2024-04-01,GT,South,RAC,Non Inverter,130.0,0.0,0.0,130.0,0.79518178
2024-04-01,GT,South,RAC,Inverter,16947.0,0.0,1699.0,15248.0,87.179773574
2024-04-01,GT,South,Washing Machine,Dryer Machine,25.0,0.0,0.0,25.0,0.1
2024-04-01,GT,South,Washing Machine,Front load,266.0,0.0,0.0,266.0,1.232472781
2024-04-01,GT,South,Washing Machine,Dryer Machine,25.0,0.0,0.0,25.0,0.136363625
2024-04-01,GT,South,Washing Machine,Top load,455.0,57.0,0.0,398.0,1.20327282
2024-04-01,GT,South,Television,Small size,775.0,18.0,0.0,757.0,2.064386407
2024-04-01,GT,South,Television,Large size,1050.0,0.0,0.0,1050.0,6.141400089
2024-04-01,GT,South,Refrigerator,Mini,359.0,0.0,0.0,359.0,0.777672625
2024-04-01,GT,South,Refrigerator,Top freezer,85.0,0.0,0.0,85.0,0.255490922
2024-04-01,GT,South,Refrigerator,Multi doors,70.0,0.0,0.0,70.0,0.454190908
2024-04-01,GT,South,Refrigerator,Side by Side,218.0,83.0,0.0,135.0,0.873668188
2024-04-01,GT,Middle,CAC,Others,46.0,0.0,0.0,46.0,1.004454544
2024-04-01,GT,Middle,RAC,Non Inverter,65.0,0.0,0.0,65.0,0.684090895
2024-04-01,GT,Middle,RAC,Inverter,13804.0,0.0,0.0,13804.0,78.563137192
2024-04-01,GT,Middle,Others,Water Heater,14.0,0.0,0.0,14.0,0.012409085
2024-04-01,GT,Middle,Others,Air purifier,1.0,0.0,0.0,1.0,0.001336364
2024-04-01,GT,Middle,Others,Water Heater,1.0,0.0,0.0,1.0,0.000590909
2024-04-01,GT,Middle,Others,Water Heater,69.0,0.0,0.0,69.0,0.030736395
2024-04-01,GT,Middle,Washing Machine,Dryer Machine,5.0,0.0,0.0,5.0,0.01368182
2024-04-01,GT,Middle,Washing Machine,Front load,123.0,0.0,0.0,123.0,0.463577304
2024-04-01,GT,Middle,Washing Machine,Dryer Machine,3.0,0.0,0.0,3.0,0.011263635
2024-04-01,GT,Middle,Washing Machine,Top load,178.0,11.0,0.0,167.0,0.485227309
2024-04-01,GT,Middle,Television,Small size,248.0,0.0,0.0,248.0,0.592254543
2024-04-01,GT,Middle,Television,Large size,403.0,0.0,0.0,403.0,1.893309125
2024-04-01,GT,Middle,Refrigerator,Mini,1.0,0.0,0.0,1.0,0.001145455
2024-04-01,GT,Middle,Refrigerator,Bottom freezer,106.0,0.0,0.0,106.0,0.592527267
2024-04-01,GT,Middle,Refrigerator,Top freezer,151.0,0.0,0.0,151.0,0.405354564
2024-04-01,GT,Middle,Refrigerator,Multi doors,60.0,0.0,0.0,60.0,0.339181812
2024-04-01,GT,Middle,Refrigerator,Side by Side,99.0,15.0,0.0,84.0,0.53458182
2024-04-01,MT,North,CAC,Others,11.0,0.0,0.0,11.0,0.257786366
2024-04-01,MT,North,RAC,Non Inverter,415.0,0.0,0.0,415.0,1.650454495
2024-04-01,MT,North,RAC,Inverter,19166.0,0.0,11.0,19155.0,118.100880374
2024-04-01,MT,North,Others,Air purifier,3464.0,0.0,0.0,3464.0,1.88945612
2024-04-01,MT,North,Washing Machine,Dryer Machine,55.0,0.0,0.0,55.0,0.2596
2024-04-01,MT,North,Washing Machine,Front load,559.0,0.0,13.0,546.0,2.671817785
2024-04-01,MT,North,Washing Machine,Dryer Machine,50.0,0.0,0.0,50.0,0.32854364
2024-04-01,MT,North,Washing Machine,Top load,359.0,0.0,0.0,359.0,1.150135248
2024-04-01,MT,North,Television,Small size,609.0,0.0,0.0,609.0,2.758480176
2024-04-01,MT,North,Refrigerator,Mini,68.0,0.0,0.0,68.0,0.15718
2024-04-01,MT,North,Refrigerator,Bottom freezer,195.0,0.0,0.0,195.0,0.818538147
2024-04-01,MT,North,Refrigerator,Side by Side,239.0,0.0,2.0,237.0,2.212508272
2024-04-01,MT,South,CAC,Others,1.0,0.0,0.0,1.0,0.018181818
2024-04-01,MT,South,RAC,Non Inverter,253.0,0.0,0.0,253.0,1.102160092
2024-04-01,MT,South,RAC,Inverter,37965.0,0.0,13.0,37952.0,222.719025724
2024-04-01,MT,South,Washing Machine,Dryer Machine,26.0,0.0,0.0,26.0,0.12213
2024-04-01,MT,South,Washing Machine,Front load,525.0,0.0,3.0,522.0,2.484415019
2024-04-01,MT,South,Washing Machine,Dryer Machine,10.0,0.0,0.0,10.0,0.06538182
2024-04-01,MT,South,Washing Machine,Top load,634.0,0.0,2.0,632.0,2.077648269
2024-04-01,MT,South,Television,Small size,1280.0,0.0,3.0,1277.0,5.895163542
2024-04-01,MT,South,Television,Large size,1280.0,0.0,3.0,-3.0,-0.027692728
2024-04-01,MT,South,Refrigerator,Mini,106.0,0.0,0.0,106.0,0.243368
2024-04-01,MT,South,Refrigerator,Bottom freezer,72.0,0.0,0.0,72.0,0.52311276
2024-04-01,MT,South,Refrigerator,Top freezer,72.0,0.0,2.0,-2.0,-0.01404
2024-04-01,MT,South,Refrigerator,Multi doors,1.0,0.0,1.0,0.0,0.0
2024-04-01,MT,South,Refrigerator,Side by Side,662.0,0.0,1.0,661.0,6.32225885
2024-04-01,MT,Middle,RAC,Non Inverter,23.0,0.0,0.0,23.0,0.100196372
2024-04-01,MT,Middle,RAC,Inverter,7449.0,0.0,0.0,7449.0,43.624482539
2024-04-01,MT,Middle,Others,Water Heater,7449.0,0.0,1.0,-1.0,-0.001843636
2024-04-01,MT,Middle,Washing Machine,Front load,62.0,0.0,0.0,62.0,0.305652714
2024-04-01,MT,Middle,Washing Machine,Top load,69.0,0.0,0.0,69.0,0.230715824
2024-04-01,MT,Middle,Television,Small size,221.0,0.0,0.0,221.0,1.012902926
2024-04-01,MT,Middle,Refrigerator,Mini,19.0,0.0,0.0,19.0,0.043732
2024-04-01,MT,Middle,Refrigerator,Bottom freezer,4.0,0.0,0.0,4.0,0.02906182
2024-04-01,MT,Middle,Refrigerator,Top freezer,4.0,0.0,1.0,-1.0,-0.00702
2024-04-01,MT,Middle,Refrigerator,Side by Side,61.0,0.0,0.0,61.0,0.60446407
2024-04-01,Retail,North,RAC,Non Inverter,12.0,0.0,0.0,12.0,0.056545455
2024-04-01,Retail,North,RAC,Inverter,57.0,0.0,0.0,57.0,0.302563641
2024-04-01,Retail,North,Others,Air purifier,31.0,0.0,0.0,31.0,0.043759094
2024-04-01,Retail,North,Washing Machine,Front load,17.0,0.0,0.0,17.0,0.065090912
2024-04-01,Retail,North,Washing Machine,Dryer Machine,4.0,0.0,0.0,4.0,0.01818182
2024-04-01,Retail,North,Television,Small size,5.0,0.0,0.0,5.0,0.017721817
2024-04-01,Retail,North,Television,Large size,10.0,4.0,0.0,6.0,0.033409089
2024-04-01,Retail,North,Refrigerator,Bottom freezer,3.0,0.0,0.0,3.0,0.01350909
2024-04-01,Retail,North,Refrigerator,Side by Side,11.0,0.0,0.0,11.0,0.076754546
2024-04-01,Retail,South,RAC,Inverter,7.0,0.0,0.0,7.0,0.032381817
2024-04-01,Retail,South,Others,Air purifier,6.0,3.0,0.0,3.0,0.003272727
2024-04-01,Retail,South,Washing Machine,Front load,2.0,0.0,0.0,2.0,0.0074
2024-04-01,Retail,South,Washing Machine,Top load,2.0,0.0,0.0,2.0,0.00609091
2024-04-01,Retail,South,Television,Large size,7.0,0.0,0.0,7.0,0.054545453
2024-04-01,Retail,South,Refrigerator,Side by Side,3.0,0.0,0.0,3.0,0.020727273
2024-04-01,Retail,Middle,RAC,Inverter,2.0,0.0,0.0,2.0,0.008927272
2024-04-01,Retail,Middle,Washing Machine,Front load,1.0,0.0,0.0,1.0,0.003909091
2024-04-01,Retail,Middle,Washing Machine,Dryer Machine,1.0,0.0,0.0,1.0,0.004545455
2024-04-01,Retail,Middle,Television,Large size,2.0,0.0,0.0,2.0,0.011763636
2024-04-01,Retail,Middle,Refrigerator,Bottom freezer,1.0,0.0,0.0,1.0,0.004372727
2024-03-01,GT,North,CAC,Others,246.0,0.0,0.0,246.0,4.617004346
2024-03-01,GT,North,RAC,Non Inverter,735.0,0.0,0.0,735.0,7.522527381
2024-03-01,GT,North,RAC,Inverter,29089.0,0.0,0.0,29089.0,151.119278147
2024-03-01,GT,North,Washing Machine,Dryer Machine,20.0,0.0,0.0,20.0,0.08
2024-03-01,GT,North,Washing Machine,Front load,2843.0,0.0,0.0,2843.0,12.398681488
2024-03-01,GT,North,Washing Machine,Dryer Machine,10.0,0.0,0.0,10.0,0.05454545
2024-03-01,GT,North,Washing Machine,Top load,551.0,261.0,0.0,290.0,0.87727283
2024-03-01,GT,North,Television,Small size,393.0,168.0,0.0,225.0,0.761590904
2024-03-01,GT,North,Television,Large size,1076.0,0.0,0.0,1076.0,6.612590898
2024-03-01,GT,North,Refrigerator,Mini,4.0,0.0,0.0,4.0,0.006727272
2024-03-01,GT,North,Refrigerator,Bottom freezer,393.0,0.0,0.0,393.0,2.623636407
2024-03-01,GT,North,Refrigerator,Top freezer,14.0,0.0,0.0,14.0,0.043636361
2024-03-01,GT,North,Refrigerator,Multi doors,1.0,0.0,0.0,1.0,0.007454545
2024-03-01,GT,North,Refrigerator,Side by Side,523.0,132.0,0.0,391.0,3.199454526
2024-03-01,GT,South,CAC,Others,85.0,0.0,0.0,85.0,1.873718173
2024-03-01,GT,South,RAC,Inverter,11372.0,0.0,0.0,11372.0,62.891955682
2024-03-01,GT,South,Others,Air purifier,100.0,0.0,0.0,100.0,0.0636364
